,page_id,title,wiki_link_complete
68,65387790,Pramila_Giri,https://en.wikipedia.org/wiki/Pramila_Giri
69,65388352,Laxman_Gouda,https://en.wikipedia.org/wiki/Laxman_Gouda
70,65388226,Ramakrushna_Gouda,https://en.wikipedia.org/wiki/Ramakrushna_Gouda
71,44732081,Prasad_Kumar_Harichandan,https://en.wikipedia.org/wiki/Prasad_Kumar_Harichandan
72,55698859,Kanhu_Charan_Jena,https://en.wikipedia.org/wiki/Kanhu_Charan_Jena
73,50616102,Ramesh_Jena,https://en.wikipedia.org/wiki/Ramesh_Jena
74,34380547,Srikant_Kumar_Jena,https://en.wikipedia.org/wiki/Srikant_Kumar_Jena
75,64962506,Kalo_Chandramani,https://en.wikipedia.org/wiki/Kalo_Chandramani
76,35104897,Nityanand_Kanungo,https://en.wikipedia.org/wiki/Nityanand_Kanungo
77,60086141,Trilochan_Kanungo,https://en.wikipedia.org/wiki/Trilochan_Kanungo
78,62357227,Kartik_Mohapatra,https://en.wikipedia.org/wiki/Kartik_Mohapatra
79,59871201,Ramachandra_Khuntia,https://en.wikipedia.org/wiki/Ramachandra_Khuntia
80,61333680,Maurice_Kujur,https://en.wikipedia.org/wiki/Maurice_Kujur
81,13043585,Samarendra_Kundu,https://en.wikipedia.org/wiki/Samarendra_Kundu
82,12421718,Surendra_Lath,https://en.wikipedia.org/wiki/Surendra_Lath
83,62853163,Naka_Laxmaya,https://en.wikipedia.org/wiki/Naka_Laxmaya
84,62311638,Lokenath_Mishra,https://en.wikipedia.org/wiki/Lokenath_Mishra
85,48971007,Sanatan_Mahakud,https://en.wikipedia.org/wiki/Sanatan_Mahakud
86,42788596,Balabhadra_Majhi,https://en.wikipedia.org/wiki/Balabhadra_Majhi
87,12421747,Bhagirathi_Majhi,https://en.wikipedia.org/wiki/Bhagirathi_Majhi
88,53092730,Duryodhan_Majhi,https://en.wikipedia.org/wiki/Duryodhan_Majhi
89,61333860,Gajadhar_Majhi,https://en.wikipedia.org/wiki/Gajadhar_Majhi
90,49330631,Mohan_Charan_Majhi,https://en.wikipedia.org/wiki/Mohan_Charan_Majhi
91,7119250,Parsuram_Majhi,https://en.wikipedia.org/wiki/Parsuram_Majhi
92,62140112,Sahura_Mallick,https://en.wikipedia.org/wiki/Sahura_Mallick
93,60849652,Manjulata_Mandal,https://en.wikipedia.org/wiki/Manjulata_Mandal
94,7119414,Sudam_Marndi,https://en.wikipedia.org/wiki/Sudam_Marndi
95,62315597,Nityananda_Misra,https://en.wikipedia.org/wiki/Nityananda_Misra
96,20815563,Ranganath_Misra,https://en.wikipedia.org/wiki/Ranganath_Misra
97,20616975,Biren_Mitra,https://en.wikipedia.org/wiki/Biren_Mitra
98,48970298,Sailabala_Mohanta,https://en.wikipedia.org/wiki/Sailabala_Mohanta
99,62531114,Bhagabat_Prasad_Mohanty,https://en.wikipedia.org/wiki/Bhagabat_Prasad_Mohanty
